"Клиент Имя Фамилия (e-17318627), период 01.05.2023 - 17.06.2023"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.05.2023 по 17.06.2023";;1578,24;3560;369;10,37;56816,76;153,97;2,88;26,32;1,63;9469,46;6
"Другие поисковые запросы";;-;2;0;0,00;0,00;-;3,00;-;-;-;-

"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип условия показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"lenovo thinksystem sr650";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR650";5194661668;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";9;5;55,56;344,73;68,95;2,00;0,00;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";19;4;21,05;661,28;165,32;2,12;20,00;-;-;-
"sr630 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"""SR630 V2""";"фраза";"пословное";-;"Целевые запросы";5;4;80,00;398,24;99,56;1,80;0,00;-;-;-
"thinksystem sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"thinksystem SR630 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Целевые запросы";27;4;14,81;541,64;135,41;1,93;33,33;-;-;-
"thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"thinksystem sr650 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Целевые запросы";28;4;14,29;835,89;208,97;2,00;33,33;-;-;-
"lenovo sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";16;3;18,75;572,42;190,81;2,00;0,00;-;-;-
"lenovo st550 8sff";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem ST550 - 8393790632891645354";5192441839;"Lenovo ST550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";5;3;60,00;212,21;70,74;2,00;0,00;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";13;3;23,08;373,11;124,37;2,15;50,00;-;-;-
"lenovo thinksystem sr650 rack 2u 2xxeon 4112 4c 2.6ghz 85w 4x16gb rdimm 6x600gb hdd sff sr 930 8i 2gb flash external usb dvd rw 4xgbe lom 2x750w 2x";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"Lenovo ThinkSystem SR650 Rack -V2 -V3";"фраза";"пословное";-;"Альтернативные запросы";3;3;100,00;515,79;171,93;1,00;0,00;-;-;-
"сервер lenovo st550 8sff";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem ST550 - 8393790632891645354";5192441839;"Сервер Lenovo ST550 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";8;3;37,50;542,11;180,70;2,00;33,33;-;-;-
de4000h;"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DE4000H";5209732145;"""DE4000H""";"фраза";"пословное";-;"Альтернативные запросы";11;2;18,18;74,06;37,03;2,55;0,00;50,00;74,06;1
"lenovo dm5100f";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DM5100F - 5782016153821603632";5210268995;"Lenovo DM5100F -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;2;100,00;66,05;33,02;1,00;0,00;-;-;-
